pn,alias,direction,n,ptei_mean,contra_mean,signal_mean,aligned
1,반도체 빅딜,+,384,0.08559179947916667,0.06443249739583333,0.021159302083333335,True
2,반도체촉진,+,27,0.01724925925925926,0.0026921851851851855,0.014557074074074073,True
3,일본 수출규제,-,1798,0.38667924360400446,0.3824418998887653,-0.004237343715239153,False
4,소부장 대책,+,281,0.17497778647686835,0.07098913523131672,0.10398865124555161,True
5,K반도체 벨트,+,568,0.3054833028169014,0.07077732922535211,0.2347059735915493,True
6,반도체 초강대국,+,241,0.22646238174273858,0.07380694190871369,0.15265543983402488,True
7,미국 반도체 수출규제,-,339,0.24085919174041295,0.19560163421828908,-0.04525755752212389,False
8,K칩스법 1차,+,516,0.1269698992248062,0.11361669961240309,0.013353199612403102,True
9,메가 클러스터,+,621,0.38739703864734304,0.12564262157809983,0.2617544170692432,True
10,K칩스법 2차,+,36,0.037555,0.05285694444444445,-0.015301944444444446,False
11,5개 은행 퇴출,-,1239,0.13928755932203388,0.08311429136400322,-0.056173267958030675,False
12,리먼 파산,-,3840,0.06974349635416667,0.0562629953125,-0.013480501041666667,False
13,공매도 금지 1차,+,361,0.21218202216066484,0.16664250138504155,0.04553952077562327,True
14,공매도 금지 2차,+,400,0.33778903,0.252829595,0.08495943499999999,True
15,공매도 금지 3차,+,686,0.3202001341107872,0.2593366180758018,0.060863516034985424,True
16,공매도 금지 4차,+,1834,0.4367227246455834,0.29955029770992364,0.13717242693565976,True
17,100조 패키지,+,2502,0.20065946322941647,0.12355434372501999,0.07710511950439648,True
18,거래세 인하,+,118,0.2951140169491525,0.18348753389830508,0.11162648305084745,True
19,금투세 폐지,+,1183,0.05451596703296704,0.04213194082840237,0.012384026204564667,True
20,자본시장법,+,819,0.23329820757020758,0.10587509401709402,0.12742311355311353,True
21,주택활성화,+,54,0.05650783333333334,0.057530611111111116,-0.0010227777777777768,False
22,10·29 대책,-,754,0.16911828779840848,0.14536150795755967,-0.023756779840848806,False
23,8·31 대책,-,1714,0.14923925495915988,0.14436752567094516,-0.004871729288214703,False
24,세제완화,+,463,0.08509798920086392,0.06956398920086393,0.015534000000000001,True
25,보금자리 150만,+,499,0.22170536472945893,0.12730251503006013,0.0944028496993988,True
26,4·1 대책,+,1301,0.16162529900076864,0.08290483935434281,0.07872045964642582,True
27,6·19 대책,-,676,0.18871480621301776,0.20399576183431956,0.015280955621301776,True
28,8·2 대책,-,1687,0.32546890337877893,0.22983184588026082,-0.09563705749851809,False
29,9·13 대책,-,1540,0.2166676461038961,0.20942687272727273,-0.007240773376623376,False
30,27만호 공급,+,299,0.1275636153846154,0.061355789297658864,0.06620782608695652,True
31,의약분업,-,1550,0.1364759677419355,0.10673626387096775,-0.02973970387096774,False
32,줄기세포 육성,+,537,0.08998117132216014,0.0334332104283054,0.05654796089385475,True
33,황우석 폭로,-,1246,0.031643869181380416,0.014215032905296951,-0.017428836276083468,False
34,시밀러 가이드,+,7,0.2598088571428571,0.166198,0.09361085714285715,True
35,쌍벌제,-,75,0.2701342666666667,0.18759104000000001,-0.08254322666666666,False
36,약가인하,-,119,0.12644851260504203,0.10458341176470588,-0.021865100840336136,False
37,바이오 육성,+,1121,0.06703058519179303,0.0240178412132025,0.04301274397859055,True
38,백신-CMO,+,165,0.028338630303030306,0.004848290909090909,0.023490339393939394,True
39,의대증원,-,1704,0.03020131220657277,0.02783474589201878,-0.00236656631455399,False
40,CDMO 특별법,+,16,0.2785103125,0.1469754375,0.131534875,True
41,녹색성장,+,1790,0.07995817039106146,0.03233749162011173,0.04762067877094972,True
42,전기차 보조금,+,23,0.09509552173913043,0.026870782608695652,0.06822473913043478,True
43,재생에너지 3020,+,246,0.1680033943089431,0.06537082520325203,0.10263256910569106,True
44,ESS 화재,-,157,0.06977977070063694,0.10149270700636942,0.031712936305732485,True
45,EU CBAM,-,222,0.08374526126126126,0.09841755855855855,0.014672297297297297,True
46,미국 IRA,+,775,0.08783464516129032,0.08388382193548387,0.003950823225806451,True
47,배터리 전략,+,244,0.1070451106557377,0.028729840163934425,0.07831527049180328,True
48,첨단전략산업법,+,3,0.0,0.0,0.0,False
49,IRA 축소,-,99,0.01593277777777778,0.024803161616161615,0.008870383838383839,True
50,그린뉴딜,+,2526,0.09354370823436263,0.03953827672209026,0.05400543151227237,True
